Food counter 	Food type	Sub-category	Region	Year of study	Report type	"kg CO2-eq/kg produce, BFM or L after conversion"	Notes (conventional farming assumed unless stated)	Reference	reference number
Dairy Counter	Cream	Cream	Austria	2010	Conference	7.92		"Lindenthal, T., T. Markut, S. Hörtenhuber and G. Rudolph (2010). Greenhouse Gas Emissions of Organic and Conventional Foodstuffs in Austria. VII International Conference on Life Cycle Assessment in the Agri-Food Sector (LCA Food 2010). Bari, Italy."	0050
Dairy Counter	Almond Milk	Milk	USA	2012	Conference	0.39	gallon gable tetrapak	"Feraldi, R., M. Huff, A. M. Molen and H. New (2012). Life Cycle Assessment of Coconut Milk and Two Non-Dairy Milk Beverage Alternatives. LCA XII. Tacoma, American Center for Life Cycle Assessment 23."	0051
Dairy Counter	Almond Milk	Milk	USA	2012	Conference	0.44	gallon gable carton	"Feraldi, R., M. Huff, A. M. Molen and H. New (2012). Life Cycle Assessment of Coconut Milk and Two Non-Dairy Milk Beverage Alternatives. LCA XII. Tacoma, American Center for Life Cycle Assessment 23."	0052
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	2.87		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0053
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	3.08		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0054
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	3.19		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0055
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	3.57		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0056
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	3.75		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0057
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	4.60		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0058
Dairy Counter	Bufalo Milk	Milk	Italy	2014	Journal	5.20		"Pirlo, G., G. Terzano, C. Pacelli, F. Abeni and S. Carè (2014). ""Carbon footprint of milk produced at Italian buffalo farms."" Livestock Science 161(0): 176-184."	0059
