FoodNumber,FoodName,CO2e,CO2eRef
108,"FRUIT LOAF, PURCHASED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
109,"FRUIT LOAF PURCHASED, TOASTED",  120,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
110,"WHEATGERM BREAD EG HOVIS WHEATGERM BREAD",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
111,"WHEATGERM BREAD, TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
112,"BREAD GRANARY",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
113,"GRANARY BREAD, TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
114,"BREAD RYE",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
115,"RYE BREAD, TOASTED",  150,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
116,"BREAD PITTA WHITE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
117,"BREAD PITTA WHOLEMEAL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
118,"BREAD VIT-BE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
119,"VITBE BREAD TOASTED NOT VITBE HI BRAN",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
120,"BREAD, WHITE SLICED, NOT FORTIFIED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
121,"BREAD WHITE CRUSTY",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
122,"BREAD WHITE ANY FRIED IN BLENDED VEG OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
123,"BREAD WHITE FRIED IN PUFA OIL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
124,"BREAD WHITE FRIED IN DRIPPING",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
125,"BREAD WHITE FRIED IN LARD",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
126,"BREAD WHITE TOASTED",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
127,"BREAD WHITE FRENCH STICK",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
128,"MILK BREAD WHITE",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
129,"BREAD WHITE SLIMMERS",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
130,"BREAD WHITE SCOTTISH BATCH LOAF",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
131,"BREAD WHITE SODA",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
132,"BREAD WHITE VIENNA",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
133,"BREAD WHOLEMEAL",  162,"From INTAKE24 GHGs by The Rowett Institute University of Aberdeen contact Ruth Slater\n"
